,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,label,sums,counts
10,440,0,0,0,11,0,3,0,2,10,2,0,0,0,0,0,1,1,5,0,0,0,8,0,3,0,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,14,0,0,0,0,0,0,0,31,2,0,7,12,3,0,0,0,0,0,5,5,0,4,3,0,5,6,1,0,0,1,2,0,0,0,2,1,4,3,0,7,2,1,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,1,1,0,0,0,1,2,1,2,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,18,6,8,5,6,11,34,2,1,5,2,1,4,40,1,0,2,1,0,1,1,6,1,1,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,462,194
11,186,0,0,0,8,1,7,0,2,12,0,0,1,0,0,0,0,1,5,0,0,0,9,0,4,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,29,1,0,9,5,4,0,0,0,0,0,0,7,0,0,8,2,0,6,2,0,2,0,2,1,1,0,1,4,1,2,0,4,2,0,2,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,2,0,1,0,0,0,1,5,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,9,5,9,9,7,31,2,1,4,2,0,3,35,1,1,6,1,0,0,2,5,2,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,461,251
12,591,0,0,0,9,12,0,0,1,9,5,9,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,12,0,0,0,0,0,0,0,31,0,0,9,11,4,0,0,0,0,0,4,7,0,1,4,0,2,5,1,0,0,0,3,3,0,1,1,3,1,3,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,7,8,5,25,5,3,6,4,3,3,35,3,0,0,1,0,1,1,8,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,459,154
13,652,0,0,0,9,3,1,0,1,10,1,0,6,0,6,0,0,1,1,0,0,0,8,12,6,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,28,2,0,9,6,5,0,0,0,0,0,2,7,0,1,7,0,1,4,3,0,2,1,0,4,2,0,0,0,3,2,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,11,6,7,7,2,31,3,4,3,2,1,4,28,2,0,1,1,0,0,2,14,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,459,184
14,744,0,0,0,11,0,0,0,1,12,3,10,2,0,0,0,1,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,1,7,1,0,0,0,0,0,0,28,3,0,15,6,5,0,0,0,0,0,1,0,0,1,6,2,1,5,1,0,0,1,1,2,1,1,0,3,2,1,2,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,2,4,1,2,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,9,8,7,24,3,3,8,5,0,7,37,1,1,3,0,1,1,1,5,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,458,184
15,1819,0,0,0,8,4,0,0,1,10,0,1,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10,0,0,0,0,0,0,0,26,1,0,5,4,8,0,0,0,0,0,2,1,0,0,0,3,0,6,3,0,1,2,0,1,0,0,2,0,4,5,0,14,0,1,4,0,1,4,0,0,3,1,3,0,0,0,0,0,0,1,2,0,1,0,0,2,1,3,1,1,0,0,0,0,0,1,0,2,0,0,1,0,4,2,0,0,0,0,0,1,0,0,0,0,5,0,12,0,1,1,0,0,0,0,0,0,0,0,0,14,7,9,6,7,16,29,8,0,9,5,1,5,34,2,2,1,3,0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,457,131
16,923,0,0,0,10,4,5,0,1,13,0,0,2,0,1,0,0,0,0,0,0,0,10,0,4,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,1,1,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,21,3,0,9,8,3,0,0,0,0,0,3,4,0,2,5,1,3,4,0,0,2,1,0,0,0,0,2,2,2,1,0,2,0,1,0,0,3,0,0,1,0,1,0,2,1,0,0,1,0,0,4,0,1,0,1,2,0,4,0,1,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,10,8,17,14,6,33,2,1,5,2,2,1,29,4,3,3,2,0,2,1,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,456,166
17,7508,0,0,0,10,0,6,0,1,12,4,0,4,1,2,0,0,2,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,5,1,0,0,0,0,0,0,29,1,0,8,7,8,0,0,0,0,0,2,0,0,1,1,2,1,2,0,0,3,0,0,2,1,4,0,1,1,2,0,1,0,1,5,0,0,7,0,0,0,2,0,0,0,1,0,1,0,1,1,1,1,0,0,0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,7,0,9,0,0,0,0,0,1,0,0,0,0,0,0,9,7,9,4,4,4,34,10,4,8,3,7,5,24,2,1,0,3,1,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,453,128
18,2921,0,0,0,5,0,0,0,1,10,3,0,1,0,5,0,3,0,2,0,0,0,8,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,0,2,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,10,0,0,0,0,0,0,0,26,2,0,10,8,4,0,0,0,0,0,6,3,1,3,2,0,3,7,2,0,0,0,0,2,2,3,0,1,3,4,0,0,0,2,4,0,1,0,0,5,0,2,2,5,1,0,2,1,3,2,0,0,2,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,2,5,8,6,0,33,5,4,5,2,0,8,29,4,0,2,4,1,2,6,7,1,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,448,109
19,107,0,0,0,10,13,0,0,1,10,2,9,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,6,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,12,1,0,0,0,0,0,0,28,1,0,8,4,7,0,0,0,0,0,1,7,0,2,3,1,2,4,3,0,0,0,2,2,1,1,1,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,3,2,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,11,8,4,4,8,31,4,1,2,8,2,1,30,2,1,1,2,1,0,2,5,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,447,251
